File,Contains tip,Tip inside highest prediction,Tip inside any prediction,Prediction on empty image
BG_CTGW_p2_bg_hf_vf_2.png,False,nan,nan,False
BG_CTGW_p2_bg_hf_vf_49.png,False,nan,nan,False
BG_CTGW_p2_bg_hf_vf_colch_2.png,False,nan,nan,False
BG_CTGW_p2_bg_hf_vf_colch_3.png,False,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_4.png,False,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_6.png,False,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_colch_47.png,False,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_colch_51.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_colch_51.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_colch_53.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_colch_90.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_colch_92.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot90_59.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot90_65.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot90_67.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_52.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_87.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_91.png,False,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_93.png,False,nan,nan,False
BG_CTGW_p4_bg_hf_vf_randrot90_colch_51.png,False,nan,nan,False
BG_CTGW_p4_bg_hf_vf_randrot90_colch_53.png,False,nan,nan,False
BG_GW_p2_bg_hf_vf_randrot90_colch_65.png,False,nan,nan,True
BG_GW_p3_bg_hf_48.png,False,nan,nan,False
BG_GW_p3_bg_hf_colch_39.png,False,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_1.png,False,nan,nan,True
BG_GW_p3_bg_hf_vf_randrot90_colch_3.png,False,nan,nan,True
BG_GW_p3_bg_hf_vf_randrot90_colch_44.png,False,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_46.png,False,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_50.png,False,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_85.png,False,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_87.png,False,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot_39.png,False,nan,nan,False
BG_GW_p4_bg_hf_1.png,False,nan,nan,False
BG_GW_p4_bg_hf_3.png,False,nan,nan,False
BG_GW_p4_bg_hf_89.png,False,nan,nan,False
BG_GW_p4_bg_hf_colch_78.png,False,nan,nan,False
BG_GW_p4_bg_hf_colch_79.png,False,nan,nan,False
BG_GW_p4_bg_hf_colch_86.png,False,nan,nan,False
BG_GW_p4_bg_hf_colch_87.png,False,nan,nan,False
BG_GW_p4_bg_hf_vf_colch_38.png,False,nan,nan,False
BG_GW_p4_bg_hf_vf_colch_39.png,False,nan,nan,False
BG_GW_p4_bg_hf_vf_randrot90_39.png,False,nan,nan,False
GWS_p4_colch_1.png,True,True,True,nan
GWS_p4_colch_10.png,True,True,True,nan
GWS_p4_colch_100.png,True,False,True,nan
GWS_p4_colch_101.png,True,True,True,nan
GWS_p4_colch_102.png,True,True,True,nan
GWS_p4_colch_103.png,True,True,True,nan
GWS_p4_colch_104.png,True,True,True,nan
GWS_p4_colch_105.png,True,False,nan,nan
GWS_p4_colch_106.png,True,False,False,nan
GWS_p4_colch_107.png,True,True,True,nan
GWS_p4_colch_108.png,True,True,True,nan
GWS_p4_colch_109.png,True,True,True,nan
GWS_p4_colch_11.png,True,True,True,nan
GWS_p4_colch_110.png,True,True,True,nan
GWS_p4_colch_111.png,True,False,nan,nan
GWS_p4_colch_112.png,True,True,True,nan
GWS_p4_colch_113.png,True,False,nan,nan
GWS_p4_colch_114.png,True,True,True,nan
GWS_p4_colch_115.png,True,True,True,nan
GWS_p4_colch_116.png,True,True,True,nan
GWS_p4_colch_117.png,True,False,nan,nan
GWS_p4_colch_118.png,True,False,nan,nan
GWS_p4_colch_119.png,True,True,True,nan
GWS_p4_colch_12.png,True,True,True,nan
GWS_p4_colch_120.png,True,True,True,nan
GWS_p4_colch_121.png,True,False,nan,nan
GWS_p4_colch_122.png,True,False,nan,nan
GWS_p4_colch_123.png,True,True,True,nan
GWS_p4_colch_124.png,True,False,nan,nan
GWS_p4_colch_125.png,True,True,True,nan
