File,Contains tip,Tip inside highest prediction,Tip inside any prediction,Prediction on empty image
BG_AC_p1_crop_12.png,False,nan,nan,False
BG_AC_p1_crop_13.png,False,nan,nan,False
BG_AC_p1_crop_colch_8.png,False,nan,nan,False
BG_AC_p1_crop_colch_9.png,False,nan,nan,False
BG_AC_p1_crop_hf_11.png,False,nan,nan,False
BG_AC_p1_crop_hf_12.png,False,nan,nan,False
BG_AC_p1_crop_hf_13.png,False,nan,nan,False
BG_AC_p1_crop_hf_colch_12.png,False,nan,nan,False
BG_AC_p1_crop_hf_colch_13.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_1.png,False,nan,nan,True
BG_AC_p1_crop_hf_vf_10.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_3.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_colch_1.png,False,nan,nan,True
BG_AC_p1_crop_hf_vf_colch_2.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_colch_3.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_rot90_2.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_rot90_3.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_rot90_colch_4.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_rot90_colch_5.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_10.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_11.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_colch_4.png,False,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_colch_6.png,False,nan,nan,True
BG_AC_p1_crop_hf_vf_saferot_colch_7.png,False,nan,nan,True
BG_AC_p5_crop_hf_vf_colch_18.png,False,nan,nan,False
BG_AC_p5_crop_hf_vf_colch_19.png,False,nan,nan,False
BG_AC_p5_crop_hf_vf_rot90_18.png,False,nan,nan,False
BG_AC_p5_crop_hf_vf_rot90_19.png,False,nan,nan,False
BG_GW_p4_crop_34.png,False,nan,nan,True
BG_GW_p4_crop_35.png,False,nan,nan,True
BG_GW_p4_crop_colch_38.png,False,nan,nan,True
BG_GW_p4_crop_hf_36.png,False,nan,nan,True
BG_GW_p4_crop_hf_vf_saferot_colch_38.png,False,nan,nan,False
BG_PC_p1_crop_52.png,False,nan,nan,False
BG_PC_p1_crop_53.png,False,nan,nan,False
BG_PC_p1_crop_hf_vf_saferot_53.png,False,nan,nan,False
BG_PC_p1_crop_hf_vf_saferot_colch_50.png,False,nan,nan,False
BG_PC_p2_crop_hf_colch_25.png,False,nan,nan,False
BG_PC_p2_crop_hf_colch_26.png,False,nan,nan,False
BG_PC_p5_crop_hf_2.png,False,nan,nan,False
BG_PC_p5_crop_hf_vf_2.png,False,nan,nan,False
BG_PC_p5_crop_hf_vf_3.png,False,nan,nan,True
BG_PC_p5_crop_hf_vf_rot90_2.png,False,nan,nan,False
